Threshold,Sensitivity_Percent,Specificity_Percent,PPV_Percent,NPV_Percent,F1_Percent,Accuracy_Percent
0.26,91.5584415584416,96.2264150943396,94.6308724832215,94.0092165898618,93.0693069306931,94.2622950819672
0.27,91.5584415584416,96.2264150943396,94.6308724832215,94.0092165898618,93.0693069306931,94.2622950819672
0.28,91.5584415584416,96.2264150943396,94.6308724832215,94.0092165898618,93.0693069306931,94.2622950819672
0.29,91.5584415584416,96.6981132075472,95.2702702702703,94.0366972477064,93.3774834437086,94.5355191256831
0.3,91.5584415584416,96.6981132075472,95.2702702702703,94.0366972477064,93.3774834437086,94.5355191256831
0.31,91.5584415584416,96.6981132075472,95.2702702702703,94.0366972477064,93.3774834437086,94.5355191256831
0.32,90.9090909090909,96.6981132075472,95.2380952380952,93.6073059360731,93.0232558139535,94.2622950819672
0.33,90.2597402597403,96.6981132075472,95.2054794520548,93.1818181818182,92.6666666666667,93.9890710382514
0.34,90.2597402597403,96.6981132075472,95.2054794520548,93.1818181818182,92.6666666666667,93.9890710382514
0.35,90.2597402597403,96.6981132075472,95.2054794520548,93.1818181818182,92.6666666666667,93.9890710382514
0.36,90.2597402597403,96.6981132075472,95.2054794520548,93.1818181818182,92.6666666666667,93.9890710382514
0.37,89.6103896103896,96.6981132075472,95.1724137931034,92.7601809954751,92.3076923076923,93.7158469945355
0.38,89.6103896103896,96.6981132075472,95.1724137931034,92.7601809954751,92.3076923076923,93.7158469945355
0.39,89.6103896103896,96.6981132075472,95.1724137931034,92.7601809954751,92.3076923076923,93.7158469945355
0.4,89.6103896103896,96.6981132075472,95.1724137931034,92.7601809954751,92.3076923076923,93.7158469945355
0.41,89.6103896103896,96.6981132075472,95.1724137931034,92.7601809954751,92.3076923076923,93.7158469945355
0.42,89.6103896103896,96.6981132075472,95.1724137931034,92.7601809954751,92.3076923076923,93.7158469945355
0.43,89.6103896103896,96.6981132075472,95.1724137931034,92.7601809954751,92.3076923076923,93.7158469945355
0.44,89.6103896103896,96.6981132075472,95.1724137931034,92.7601809954751,92.3076923076923,93.7158469945355
0.45,89.6103896103896,97.1698113207547,95.8333333333333,92.7927927927928,92.6174496644295,93.9890710382514
0.46,89.6103896103896,97.1698113207547,95.8333333333333,92.7927927927928,92.6174496644295,93.9890710382514
0.47,89.6103896103896,97.1698113207547,95.8333333333333,92.7927927927928,92.6174496644295,93.9890710382514
0.48,89.6103896103896,97.1698113207547,95.8333333333333,92.7927927927928,92.6174496644295,93.9890710382514
0.49,89.6103896103896,97.1698113207547,95.8333333333333,92.7927927927928,92.6174496644295,93.9890710382514
0.5,89.6103896103896,97.1698113207547,95.8333333333333,92.7927927927928,92.6174496644295,93.9890710382514
0.51,89.6103896103896,97.1698113207547,95.8333333333333,92.7927927927928,92.6174496644295,93.9890710382514
0.52,89.6103896103896,97.1698113207547,95.8333333333333,92.7927927927928,92.6174496644295,93.9890710382514
0.53,89.6103896103896,97.1698113207547,95.8333333333333,92.7927927927928,92.6174496644295,93.9890710382514
0.54,89.6103896103896,97.1698113207547,95.8333333333333,92.7927927927928,92.6174496644295,93.9890710382514
0.55,89.6103896103896,97.1698113207547,95.8333333333333,92.7927927927928,92.6174496644295,93.9890710382514
0.56,89.6103896103896,97.1698113207547,95.8333333333333,92.7927927927928,92.6174496644295,93.9890710382514
0.57,89.6103896103896,97.1698113207547,95.8333333333333,92.7927927927928,92.6174496644295,93.9890710382514
0.58,89.6103896103896,97.1698113207547,95.8333333333333,92.7927927927928,92.6174496644295,93.9890710382514
0.59,88.961038961039,97.1698113207547,95.8041958041958,92.3766816143498,92.2558922558923,93.7158469945355
0.6,88.961038961039,97.1698113207547,95.8041958041958,92.3766816143498,92.2558922558923,93.7158469945355
0.61,88.961038961039,97.6415094339623,96.4788732394366,92.4107142857143,92.5675675675676,93.9890710382514
0.62,88.961038961039,97.6415094339623,96.4788732394366,92.4107142857143,92.5675675675676,93.9890710382514
0.63,88.961038961039,97.6415094339623,96.4788732394366,92.4107142857143,92.5675675675676,93.9890710382514
0.64,88.3116883116883,97.6415094339623,96.4539007092199,92,92.2033898305085,93.7158469945355
0.65,87.6623376623377,97.6415094339623,96.4285714285714,91.5929203539823,91.8367346938776,93.4426229508197
0.66,87.6623376623377,97.6415094339623,96.4285714285714,91.5929203539823,91.8367346938776,93.4426229508197
0.67,87.6623376623377,97.6415094339623,96.4285714285714,91.5929203539823,91.8367346938776,93.4426229508197
0.68,87.6623376623377,97.6415094339623,96.4285714285714,91.5929203539823,91.8367346938776,93.4426229508197
0.69,87.6623376623377,97.6415094339623,96.4285714285714,91.5929203539823,91.8367346938776,93.4426229508197
